c5,c119,c119_coref,c119_ner,c119_pos,c119_lemmatized,c119_dependency,c119_sentiment,corefs
19750315005389A,TAILWHEEL COCKED RIGHT PRIOR TO TKOF.                                                                              ,[],"[('TAILWHEEL COCKED', 'ORG')]","[('TAILWHEEL', 'PROPN'), ('COCKED', 'PROPN'), ('RIGHT', 'ADV'), ('PRIOR', 'ADV'), ('TO', 'ADP'), ('TKOF', 'PROPN'), ('.', 'PUNCT'), ('                                                                             ', 'SPACE')]","['TAILWHEEL', 'COCKED', 'right', 'prior', 'to', 'TKOF', '.', '                                                                             ']","[('TAILWHEEL', 'compound', 'COCKED'), ('COCKED', 'ROOT', 'COCKED'), ('RIGHT', 'advmod', 'PRIOR'), ('PRIOR', 'advmod', 'TO'), ('TO', 'ROOT', 'TO'), ('TKOF', 'pobj', 'TO'), ('.', 'punct', 'TO'), ('                                                                             ', '', '.')]",0.1428571428571428,[]
19750419011349A,TOW PLANE BECAME AIRBORNE THEN SETTLED.STUDENT THOUGHT TOW IN TROUBLE & RELEASED.HIT TREE.                         ,[],"[('SETTLED.STUDENT THOUGHT TOW IN', 'FAC')]","[('TOW', 'NOUN'), ('PLANE', 'NOUN'), ('BECAME', 'VERB'), ('AIRBORNE', 'ADJ'), ('THEN', 'ADV'), ('SETTLED.STUDENT', 'PROPN'), ('THOUGHT', 'VERB'), ('TOW', 'NOUN'), ('IN', 'ADP'), ('TROUBLE', 'NOUN'), ('&', 'CCONJ'), ('RELEASED.HIT', 'PROPN'), ('TREE', 'PROPN'), ('.', 'PUNCT'), ('                        ', 'SPACE')]","['tow', 'plane', 'become', 'airborne', 'then', 'SETTLED.STUDENT', 'think', 'tow', 'in', 'trouble', '&', 'RELEASED.HIT', 'TREE', '.', '                        ']","[('TOW', 'compound', 'PLANE'), ('PLANE', 'nsubj', 'BECAME'), ('BECAME', 'ROOT', 'BECAME'), ('AIRBORNE', 'acomp', 'BECAME'), ('THEN', 'ROOT', 'THEN'), ('SETTLED.STUDENT', 'nsubj', 'THOUGHT'), ('THOUGHT', 'ROOT', 'THOUGHT'), ('TOW', 'dobj', 'THOUGHT'), ('IN', 'prep', 'THOUGHT'), ('TROUBLE', 'pobj', 'IN'), ('&', 'cc', 'TROUBLE'), ('RELEASED.HIT', 'compound', 'TREE'), ('TREE', 'conj', 'TROUBLE'), ('.', 'punct', 'THOUGHT'), ('                        ', '', '.')]",-0.2,[]
19751029037799A,"2ND ILS APCH,ACFT'S G/S INOP.LOM TUNED TO WRONG FREQ.                                                              ",[],"[('2ND ILS APCH', 'ORG'), (""ACFT'S"", 'ORG'), ('FREQ', 'ORG')]","[('2ND', 'PUNCT'), ('ILS', 'PROPN'), ('APCH', 'PROPN'), (',', 'PUNCT'), ('ACFT', 'PROPN'), (""'S"", 'PART'), ('G', 'NOUN'), ('/', 'SYM'), ('S', 'PROPN'), ('INOP.LOM', 'NOUN'), ('TUNED', 'PROPN'), ('TO', 'ADP'), ('WRONG', 'PROPN'), ('FREQ', 'PROPN'), ('.', 'PUNCT'), ('                                                             ', 'SPACE')]","['2ND', 'ILS', 'APCH', ',', 'ACFT', ""'s"", 'g', '/', 'S', 'inop.lom', 'TUNED', 'to', 'WRONG', 'FREQ', '.', '                                                             ']","[('2ND', 'nummod', 'APCH'), ('ILS', 'compound', 'APCH'), ('APCH', 'ROOT', 'APCH'), (',', 'punct', 'APCH'), ('ACFT', 'appos', 'APCH'), (""'S"", 'case', 'ACFT'), ('G', 'nmod', 'S'), ('/', 'punct', 'S'), ('S', 'compound', 'INOP.LOM'), ('INOP.LOM', 'subtok', 'TUNED'), ('TUNED', 'ROOT', 'TUNED'), ('TO', 'prep', 'TUNED'), ('WRONG', 'compound', 'FREQ'), ('FREQ', 'pobj', 'TO'), ('.', 'punct', 'TUNED'), ('                                                             ', '', '.')]",-0.25,[]
19751209037899A,PLT NOTED SOFT R BRAKE PEDAL DRG TAXI TO TKOF.FLT RTND SPRINGFIELD DUE SOFT BRAKE STRONG WINDS BOS                 ,[],"[('RTND SPRINGFIELD', 'ORG')]","[('PLT', 'PROPN'), ('NOTED', 'ADV'), ('SOFT', 'ADJ'), ('R', 'PROPN'), ('BRAKE', 'NOUN'), ('PEDAL', 'PROPN'), ('DRG', 'PROPN'), ('TAXI', 'PROPN'), ('TO', 'ADP'), ('TKOF.FLT', 'DET'), ('RTND', 'PROPN'), ('SPRINGFIELD', 'PROPN'), ('DUE', 'ADP'), ('SOFT', 'ADJ'), ('BRAKE', 'NOUN'), ('STRONG', 'PROPN'), ('WINDS', 'PROPN'), ('BOS', 'PROPN'), ('                ', 'SPACE')]","['PLT', 'noted', 'soft', 'R', 'brake', 'PEDAL', 'DRG', 'TAXI', 'to', 'tkof.flt', 'RTND', 'SPRINGFIELD', 'due', 'soft', 'brake', 'STRONG', 'WINDS', 'BOS', '                ']","[('PLT', 'nsubj', 'NOTED'), ('NOTED', 'ROOT', 'NOTED'), ('SOFT', 'amod', 'DRG'), ('R', 'compound', 'PEDAL'), ('BRAKE', 'compound', 'PEDAL'), ('PEDAL', 'compound', 'DRG'), ('DRG', 'compound', 'TAXI'), ('TAXI', 'dobj', 'NOTED'), ('TO', 'prep', 'TAXI'), ('TKOF.FLT', 'nmod', 'SPRINGFIELD'), ('RTND', 'compound', 'SPRINGFIELD'), ('SPRINGFIELD', 'pobj', 'TO'), ('DUE', 'ROOT', 'DUE'), ('SOFT', 'amod', 'BRAKE'), ('BRAKE', 'dobj', 'DUE'), ('STRONG', 'amod', 'BOS'), ('WINDS', 'compound', 'BOS'), ('BOS', 'ROOT', 'BOS'), ('                ', '', 'BOS')]",0.1270833333333333,[]
19750818025579A,TAXI OFF HARD SFC DUE TFC R MAIN GR BROKE THROUGH ROOF OF A WASHED OUT UNDERGROUND TUNNEL.                         ,[],"[('TAXI OFF', 'ORG')]","[('TAXI', 'VERB'), ('OFF', 'ADP'), ('HARD', 'ADJ'), ('SFC', 'PROPN'), ('DUE', 'ADP'), ('TFC', 'PROPN'), ('R', 'PROPN'), ('MAIN', 'PROPN'), ('GR', 'PROPN'), ('BROKE', 'VERB'), ('THROUGH', 'ADP'), ('ROOF', 'PROPN'), ('OF', 'ADP'), ('A', 'DET'), ('WASHED', 'VERB'), ('OUT', 'ADV'), ('UNDERGROUND', 'PROPN'), ('TUNNEL', 'PROPN'), ('.', 'PUNCT'), ('                        ', 'SPACE')]","['taxi', 'off', 'hard', 'SFC', 'due', 'TFC', 'R', 'MAIN', 'GR', 'break', 'through', 'ROOF', 'of', 'a', 'washed', 'out', 'UNDERGROUND', 'TUNNEL', '.', '                        ']","[('TAXI', 'ROOT', 'TAXI'), ('OFF', 'prt', 'TAXI'), ('HARD', 'amod', 'DUE'), ('SFC', 'compound', 'DUE'), ('DUE', 'amod', 'GR'), ('TFC', 'compound', 'GR'), ('R', 'compound', 'GR'), ('MAIN', 'compound', 'GR'), ('GR', 'nsubj', 'BROKE'), ('BROKE', 'ROOT', 'BROKE'), ('THROUGH', 'prep', 'BROKE'), ('ROOF', 'pobj', 'THROUGH'), ('OF', 'prep', 'ROOF'), ('A', 'det', 'TUNNEL'), ('WASHED', 'compound', 'OUT'), ('OUT', 'nmod', 'TUNNEL'), ('UNDERGROUND', 'amod', 'TUNNEL'), ('TUNNEL', 'pobj', 'OF'), ('.', 'punct', 'BROKE'), ('                        ', '', '.')]",-0.0833333333333333,[]
19750905025029A,ACFT BEING TAXIED ON GRASS TAXIWAY NOSE WHEEL STRUCK A 6 IN RUT WHICH WAS NOT NOTICED.                             ,[],"[('ACFT BEING TAXIED ON GRASS', 'ORG'), ('6', 'CARDINAL')]","[('ACFT', 'PROPN'), ('BEING', 'NOUN'), ('TAXIED', 'VERB'), ('ON', 'ADP'), ('GRASS', 'PROPN'), ('TAXIWAY', 'PROPN'), ('NOSE', 'PROPN'), ('WHEEL', 'PROPN'), ('STRUCK', 'VERB'), ('A', 'DET'), ('6', 'NUM'), ('IN', 'ADP'), ('RUT', 'NOUN'), ('WHICH', 'DET'), ('WAS', 'VERB'), ('NOT', 'ADV'), ('NOTICED', 'VERB'), ('.', 'PUNCT'), ('                            ', 'SPACE')]","['ACFT', 'being', 'taxi', 'on', 'GRASS', 'TAXIWAY', 'NOSE', 'WHEEL', 'strike', 'a', '6', 'in', 'rut', 'which', 'be', 'not', 'notice', '.', '                            ']","[('ACFT', 'nsubjpass', 'TAXIED'), ('BEING', 'auxpass', 'TAXIED'), ('TAXIED', 'ROOT', 'TAXIED'), ('ON', 'prep', 'TAXIED'), ('GRASS', 'compound', 'WHEEL'), ('TAXIWAY', 'compound', 'WHEEL'), ('NOSE', 'compound', 'WHEEL'), ('WHEEL', 'pobj', 'ON'), ('STRUCK', 'ROOT', 'STRUCK'), ('A', 'ROOT', 'A'), ('6', 'nummod', 'A'), ('IN', 'prep', 'A'), ('RUT', 'pobj', 'IN'), ('WHICH', 'nsubjpass', 'NOTICED'), ('WAS', 'auxpass', 'NOTICED'), ('NOT', 'neg', 'NOTICED'), ('NOTICED', 'ROOT', 'NOTICED'), ('.', 'punct', 'NOTICED'), ('                            ', '', '.')]",0.0,[]
19750923031109A,DEP FOR DEST WITH KNOWN ELEC PROB. DIDNT USE EMERG GR DOWN SYS.                                                    ,[],[],"[('DEP', 'PROPN'), ('FOR', 'ADP'), ('DEST', 'NOUN'), ('WITH', 'ADP'), ('KNOWN', 'VERB'), ('ELEC', 'PROPN'), ('PROB', 'PROPN'), ('.', 'PUNCT'), ('DIDNT', 'PROPN'), ('USE', 'PROPN'), ('EMERG', 'PROPN'), ('GR', 'PROPN'), ('DOWN', 'ADP'), ('SYS', 'NOUN'), ('.', 'PUNCT'), ('                                                   ', 'SPACE')]","['DEP', 'for', 'dest', 'with', 'know', 'ELEC', 'PROB', '.', 'DIDNT', 'USE', 'EMERG', 'GR', 'down', 'sys', '.', '                                                   ']","[('DEP', 'ROOT', 'DEP'), ('FOR', 'prep', 'DEP'), ('DEST', 'pobj', 'FOR'), ('WITH', 'prep', 'DEP'), ('KNOWN', 'compound', 'PROB'), ('ELEC', 'compound', 'PROB'), ('PROB', 'pobj', 'WITH'), ('.', 'punct', 'DEP'), ('DIDNT', 'aux', 'USE'), ('USE', 'ROOT', 'USE'), ('EMERG', 'compound', 'SYS'), ('GR', 'compound', 'SYS'), ('DOWN', 'compound', 'SYS'), ('SYS', 'dobj', 'USE'), ('.', 'punct', 'USE'), ('                                                   ', '', '.')]",-0.1555555555555555,[]
19760215007629A,MTNS OBSCURED.FLT TO CK VOR REC REPTD INOP PRIOR DAY.                                                              ,[],"[('MTNS', 'ORG'), ('CK VOR REC', 'ORG')]","[('MTNS', 'PROPN'), ('OBSCURED.FLT', 'X'), ('TO', 'ADP'), ('CK', 'PROPN'), ('VOR', 'PROPN'), ('REC', 'PROPN'), ('REPTD', 'PROPN'), ('INOP', 'PROPN'), ('PRIOR', 'PROPN'), ('DAY', 'PROPN'), ('.', 'PUNCT'), ('                                                             ', 'SPACE')]","['MTNS', 'obscured.flt', 'to', 'CK', 'VOR', 'REC', 'REPTD', 'INOP', 'PRIOR', 'DAY', '.', '                                                             ']","[('MTNS', 'compound', 'OBSCURED.FLT'), ('OBSCURED.FLT', 'ROOT', 'OBSCURED.FLT'), ('TO', 'prep', 'OBSCURED.FLT'), ('CK', 'compound', 'REC'), ('VOR', 'compound', 'REC'), ('REC', 'compound', 'INOP'), ('REPTD', 'compound', 'INOP'), ('INOP', 'pobj', 'TO'), ('PRIOR', 'amod', 'DAY'), ('DAY', 'npadvmod', 'OBSCURED.FLT'), ('.', 'punct', 'OBSCURED.FLT'), ('                                                             ', '', '.')]",0.0,[]
19760606015529A,SUFFICIENT OPPORTUNITY EXISTED TO RELEASE WHEN GLIDER ASSUMED NOSE HIGH ATTITUDE.                                  ,[],[],"[('SUFFICIENT', 'ADJ'), ('OPPORTUNITY', 'NOUN'), ('EXISTED', 'ADV'), ('TO', 'PART'), ('RELEASE', 'VERB'), ('WHEN', 'ADV'), ('GLIDER', 'PROPN'), ('ASSUMED', 'VERB'), ('NOSE', 'PROPN'), ('HIGH', 'PROPN'), ('ATTITUDE', 'PROPN'), ('.', 'PUNCT'), ('                                 ', 'SPACE')]","['sufficient', 'opportunity', 'existed', 'to', 'release', 'when', 'GLIDER', 'assume', 'NOSE', 'HIGH', 'ATTITUDE', '.', '                                 ']","[('SUFFICIENT', 'amod', 'OPPORTUNITY'), ('OPPORTUNITY', 'ROOT', 'OPPORTUNITY'), ('EXISTED', 'advmod', 'OPPORTUNITY'), ('TO', 'prep', 'OPPORTUNITY'), ('RELEASE', 'pobj', 'TO'), ('WHEN', 'advmod', 'ASSUMED'), ('GLIDER', 'nsubj', 'ASSUMED'), ('ASSUMED', 'ROOT', 'ASSUMED'), ('NOSE', 'nmod', 'ATTITUDE'), ('HIGH', 'amod', 'ATTITUDE'), ('ATTITUDE', 'dobj', 'ASSUMED'), ('.', 'punct', 'ASSUMED'), ('                                 ', '', '.')]",0.16,[]
19760531024959A,MAINT NOT PERFORMED DUE PARTS NOT AVAILABLE. TURBOCHARGER WASTE GATE DID NOT ACTUATE.                              ,[],"[('MAINT', 'ORG')]","[('MAINT', 'PROPN'), ('NOT', 'ADV'), ('PERFORMED', 'VERB'), ('DUE', 'ADJ'), ('PARTS', 'NOUN'), ('NOT', 'ADV'), ('AVAILABLE', 'ADJ'), ('.', 'PUNCT'), ('TURBOCHARGER', 'PROPN'), ('WASTE', 'PROPN'), ('GATE', 'PROPN'), ('DID', 'VERB'), ('NOT', 'ADV'), ('ACTUATE', 'VERB'), ('.', 'PUNCT'), ('                             ', 'SPACE')]","['MAINT', 'not', 'perform', 'due', 'part', 'not', 'available', '.', 'TURBOCHARGER', 'WASTE', 'GATE', 'do', 'not', 'actuate', '.', '                             ']","[('MAINT', 'nsubj', 'PERFORMED'), ('NOT', 'neg', 'PERFORMED'), ('PERFORMED', 'ROOT', 'PERFORMED'), ('DUE', 'amod', 'PARTS'), ('PARTS', 'dobj', 'PERFORMED'), ('NOT', 'neg', 'AVAILABLE'), ('AVAILABLE', 'ROOT', 'AVAILABLE'), ('.', 'punct', 'AVAILABLE'), ('TURBOCHARGER', 'compound', 'GATE'), ('WASTE', 'compound', 'GATE'), ('GATE', 'nsubj', 'ACTUATE'), ('DID', 'aux', 'ACTUATE'), ('NOT', 'neg', 'ACTUATE'), ('ACTUATE', 'ROOT', 'ACTUATE'), ('.', 'punct', 'ACTUATE'), ('                             ', '', '.')]",-0.175,[]
