,c5_id,c119_input,input,corefs
0,19750315005389A,TAILWHEEL COCKED RIGHT PRIOR TO TKOF.                                                                              ,"['▁core', 'ference', '▁resolution', ':', '<speaker>', '▁speaker', '1', '</speaker>', '▁(', '▁', '-', '23', ')', '▁on', '▁', 'jan', 'u', 'ary', '▁21', ',', '▁2007', '▁at', '▁2', '100', '▁', 'p', 's', 't', ',', '▁so', 'cat', 'a', '▁', 't', 'b', '20', '▁', 'a', '/', 'c', ',', '▁', 'n', '71', '1', 'r', 'p', ',', '▁', 's', '/', 'n', ':', '▁10', '81', '▁', 'landed', '▁at', '▁to', 'a', '▁', 'r', 'w', 'y', '▁29', 'r', '▁with', '▁the', '▁landing', '▁ge', '</s>']",[]
1,19750419011349A,TOW PLANE BECAME AIRBORNE THEN SETTLED.STUDENT THOUGHT TOW IN TROUBLE & RELEASED.HIT TREE.                         ,"['▁core', 'ference', '▁resolution', ':', '<speaker>', '▁speaker', '1', '</speaker>', '▁narrative', ':', '▁on', '▁1', '/18', '/', '94', ',', '▁', 'ry', 'an', '▁', '205', ',', '▁', 'a', '▁', 'b', '-7', '27', '-21', ',', '▁', 'n', '35', '6', 'q', 's', ',', '▁', 'departed', '▁', 'n', 'ash', 'ville', ',', '▁', 't', 'n', '▁(', '▁', 'b', 'n', 'a', ')', ',', '▁for', '▁day', 't', 'on', ',', '▁', 'o', 'h', '.', '▁after', '▁take', 'off', ',', '▁', 'r', '</s>']","[[[0, 1], [9, 9]]]"
2,19751029037799A,"2ND ILS APCH,ACFT'S G/S INOP.LOM TUNED TO WRONG FREQ.                                                              ","['▁core', 'ference', '▁resolution', ':', '<speaker>', '▁speaker', '1', '</speaker>', '▁pl', 't', '▁', 'r', 'q', 's', 't', 'd', '▁', '&', '▁', 'c', 'n', 't', 'l', 'r', '▁app', 'v', 'd', '▁', 's', 'p', 'c', 'l', '▁', 'v', 'f', 'r', '▁', 'c', 'l', 'r', 'nce', '▁at', '▁', 'nite', '.', '▁pl', 't', '▁not', '▁in', 's', 't', '▁', 'r', 't', 'd', '.', '▁', 't', 'r', '▁set', '▁30', '05', '▁vice', '▁2', '999', '.', '</s>']",[]
3,19751209037899A,PLT NOTED SOFT R BRAKE PEDAL DRG TAXI TO TKOF.FLT RTND SPRINGFIELD DUE SOFT BRAKE STRONG WINDS BOS                 ,"['▁core', 'ference', '▁resolution', ':', '<speaker>', '▁speaker', '1', '</speaker>', '▁(', '▁', '-5', ')', '▁on', '▁', 'o', 'c', 'to', 'ber', '▁21', '▁', ',', '19', '98', ',', '▁at', '▁12', '05', '▁', 'c', 'd', 't', ',', '▁', 'n', '3', '256', 'v', ',', '▁', 'a', '▁be', 'ech', '▁', 'a', '-', '36', ',', '▁owned', '▁and', '▁operated', '▁by', '▁', 'f', 'rank', '▁', 'rob', 'in', 's', '▁', 'i', 'i', 'i', ',', '▁received', '▁minor', '</s>']",[]
4,19750818025579A,TAXI OFF HARD SFC DUE TFC R MAIN GR BROKE THROUGH ROOF OF A WASHED OUT UNDERGROUND TUNNEL.                         ,"['▁core', 'ference', '▁resolution', ':', '<speaker>', '▁speaker', '1', '</speaker>', '▁(', '▁', '-', '23', ')', '▁', '^', 'pri', 'vac', 'y', '▁data', '▁', 'o', 'mitted', '▁on', '▁03', '-16', '-', '06', ',', '▁', 'n', '101', 'w', 'a', ',', '▁', 'a', '▁', 's', 'c', '7', '-3', '▁sky', 'van', ',', '▁pilot', 'e', 'd', '▁by', '▁', '^', 'pri', 'vac', 'y', '▁data', '▁', 'o', '^', '▁', 'impacted', '▁the', '▁tail', '▁of', '▁', 'n', '</s>']",[]
5,19750905025029A,ACFT BEING TAXIED ON GRASS TAXIWAY NOSE WHEEL STRUCK A 6 IN RUT WHICH WAS NOT NOTICED.                             ,"['▁core', 'ference', '▁resolution', ':', '<speaker>', '▁speaker', '1', '</speaker>', '▁(', '▁', '-', '23', ')', '▁', '^', 'pri', 'vac', 'y', '▁dat', '^', '▁and', '▁one', '▁passenger', '▁were', '▁', 'en', 'route', '▁from', '▁pe', 'ter', 'sburg', 'h', ',', '▁va', '.', '▁(', '▁', 'p', 't', 'v', ')', '▁to', '▁orange', 'burg', 'h', ',', '▁', 's', 'c', '▁(', '▁', 'o', 'g', 'b', ')', '▁in', '▁', 'n', '80', '84', 'k', '▁', 'a', '</s>']",[]
6,19750923031109A,DEP FOR DEST WITH KNOWN ELEC PROB. DIDNT USE EMERG GR DOWN SYS.                                                    ,"['▁core', 'ference', '▁resolution', ':', '<speaker>', '▁speaker', '1', '</speaker>', '▁(', '▁', '-5', ')', '▁on', '▁', 'o', 'c', 'to', 'ber', '▁4', ',', '▁1998', ',', '▁at', '▁10', '25', 'e', ',', '▁', 'a', '▁ces', 's', 'n', 'a', '▁', 'citation', ',', '▁', 'n', '2', '67', 't', 'c', ',', '▁', 's', '/', 'n', '▁', '550', '-', '03', '45', '▁registered', '▁to', '▁', '304', '▁', 'm', '▁', 'c', '▁limited', '▁experience', '</s>']",[]
7,19760215007629A,MTNS OBSCURED.FLT TO CK VOR REC REPTD INOP PRIOR DAY.                                                              ,"['▁core', 'ference', '▁resolution', ':', '<speaker>', '▁speaker', '1', '</speaker>', '▁(', '▁', '-', '23', ')', '▁on', '▁', 'jun', 'e', '▁20', ',', '▁2006', ',', '▁american', '▁airlines', '▁aircraft', ',', '▁', 'n', '96', '1', 't', 'w', '▁', 'a', '▁', 'd', 'c', '-9', '-', '82', ',', '▁on', '▁', 'a', '▁flight', '▁from', '▁los', '▁angel', 'e', 's', ',', '▁ca', '▁(', '▁la', 'x', ')', '▁to', '▁', 'o', '▁', ""'"", '▁', 'h', '</s>']",[]
8,19760606015529A,SUFFICIENT OPPORTUNITY EXISTED TO RELEASE WHEN GLIDER ASSUMED NOSE HIGH ATTITUDE.                                  ,"['▁core', 'ference', '▁resolution', ':', '<speaker>', '▁speaker', '1', '</speaker>', '▁(', '▁', '-', '23', ')', '▁', 'm', 'r', '.', '▁', 'h', 'ick', 's', '▁was', '▁flying', '▁from', '▁sau', 'k', '▁center', ',', '▁', 'm', 'n', '.', '▁(', '▁', 'd', '39', ')', '▁to', '▁car', 'roll', ',', '▁', 'i', 'a', '▁(', '▁', 'c', 'in', ')', '.', '▁at', '▁about', '▁15', '30', '▁local', '▁time', '▁', 'he', '▁reported', '▁', 't', '</s>']",[]
9,19760531024959A,MAINT NOT PERFORMED DUE PARTS NOT AVAILABLE. TURBOCHARGER WASTE GATE DID NOT ACTUATE.                              ,"['▁core', 'ference', '▁resolution', ':', '<speaker>', '▁speaker', '1', '</speaker>', '▁(', '▁', '-', '23', ')', '▁on', '▁', 'nov', 'ember', '▁11', ',', '▁2003', '▁at', 'p', '▁', 'rated', '▁pic', '▁and', '▁si', 'c', '▁', 'departed', '▁pal', 'w', 'au', 'ke', 'e', '▁airport', '▁(', '▁', 'p', 'w', 'k', ')', ',', '▁wheel', 'ing', ',', '▁', 'il', '▁on', '▁', 'a', '▁14', '▁', 'c', 'f', 'r', '▁1', '35', '-', '▁', 'o', '</s>']",[]
10,19760507010379A,"LEFT ENG OIL SUPPLY EXHAUSTED.GEAR-UP LDG IN MESQUITE BRUSH.DENSITY ALT,7200FT. HIGH OIL USAGE ENG                 ","['▁core', 'ference', '▁resolution', ':', '<speaker>', '▁speaker', '1', '</speaker>', '▁(', '▁', '-', '23', ')', '▁on', '▁august', '▁21', ',', '▁2004', ',', '▁at', '▁08', ':', '45', '▁', 'e', 'd', 't', ',', '▁', 'a', '▁', 'm', 'ooney', '▁', 'm', '20', 'j', ',', '▁', 'n', '202', 'm', 'g', ',', '▁', 's', '/', 'n', '▁24', '-16', '30', '▁was', '▁returning', '▁from', '▁', 'a', '▁local', '▁flight', ',', '▁land', 'i', '</s>']",[]
11,19761022033409A,PLT CONTINUED T/O IFR AFTER WNDSHD & WINDOWS FOGGED UP DURING VFR DEPARTURE.                                       ,"['▁core', 'ference', '▁resolution', ':', '<speaker>', '▁speaker', '1', '</speaker>', '▁(', '▁', '-', '23', ')', '▁on', '▁09', '-22', '-', '05', '▁at', '▁app', 'rox', '.', '▁01', '22', '▁local', '▁', 'n', '18', '1', 'f', 'l', '▁on', '▁flight', '▁from', '▁', 'en', 'w', '▁to', '▁', 'm', 'ke', '▁depart', 'ing', '▁on', '▁', 'r', 'w', 'y', '▁24', 'r', '.', '▁at', '▁about', '▁400', '▁', ""'"", '▁of', '▁', 'r', 'w', 'y', '</s>']",[]
12,19761021035989A,PLT PREOCCUPIED WITH PREV NOSE WHEEL VIBRATION.DIDN'T OBSERVE GR SAFE LGT. WIND GUSTING 23KTS.                     ,"['▁core', 'ference', '▁resolution', ':', '<speaker>', '▁speaker', '1', '</speaker>', '▁(', '▁', '-', '23', ')', '▁on', '▁', '05', '/', '14', '/', '2007', ',', '▁1941', '▁', 'c', 'd', 't', ',', '▁', 'a', '▁gr', 'um', 'man', '/', 'schw', 'e', 'izer', '▁model', '▁', 'g', '-', '164', 'b', ',', '▁', 'n', '840', '2', 'k', ',', '▁registered', '▁to', '▁', 'w', 'il', 'son', '▁flying', '▁service', ',', '▁in', 'c', ',', '</s>']",[]
13,19760730023679A,"ELECT SYST WENT DEAD,GENERATOR CIRCUIT BREAKER SWITCH NOT ENGAGED.NOT TIME TO EXT.GEAR MANUALLY.                   ","['▁core', 'ference', '▁resolution', ':', '<speaker>', '▁speaker', '1', '</speaker>', '▁(', '▁', '-', '23', ')', '▁about', '▁7', ':', '15', '▁am', '▁on', '▁', 's', 'atur', 'day', '▁7', '/2', '2/', '2000', '▁', 'i', '▁', '^', 'pri', 'vac', 'y', '▁data', '▁', 'o', 'm', 'i', '^', '▁pic', '▁of', '▁aircraft', '▁', 'n', '27', '09', 'r', '▁left', '▁', 'l', 'be', '▁on', '▁an', '▁', 'if', 'r', '▁flight', '▁so', 'p', '</s>']",[]
